Date,Open,High,Low,Close,Volume,Symbol,Daily_Return
2023-07-03,115.16000366210938,116.7300033569336,114.51000213623048,115.81999969482422,31860000,AMD,
2023-07-05,116.0999984741211,117.66000366210938,113.86000061035156,113.9499969482422,49501600,AMD,-0.016145767151695023
2023-07-06,112.06999969482422,113.79000091552734,110.30999755859376,113.4800033569336,42342000,AMD,-0.004124559928879057
2023-07-07,114.16000366210938,115.33000183105467,113.04000091552734,113.16999816894533,37135100,AMD,-0.0027318045366389043
2023-07-10,113.0,113.61000061035156,109.87999725341795,113.58000183105467,49330200,AMD,0.0036229006692858334
2023-07-11,111.66000366210938,113.2699966430664,109.5,111.31999969482422,59899500,AMD,-0.01989788783057167
2023-07-12,112.88999938964844,115.4000015258789,112.30999755859376,114.58000183105467,57993100,AMD,0.029284963574986778
2023-07-13,115.76000213623048,116.16000366210938,113.58000183105467,115.91999816894533,49206700,AMD,0.01169485352135391
2023-07-14,116.16999816894533,122.12000274658205,115.25,115.94000244140624,91847300,AMD,0.00017256964093248506
2023-07-17,115.9499969482422,118.83999633789062,112.7300033569336,118.31999969482422,68593300,AMD,0.020527835115587312
2023-07-18,117.5500030517578,118.43000030517578,115.19000244140624,117.93000030517578,57980100,AMD,-0.0032961408946444726
2023-07-19,121.3000030517578,121.66999816894533,115.5500030517578,116.43000030517578,70363100,AMD,-0.01271940978646946
2023-07-20,114.95999908447266,115.0500030517578,109.23999786376952,110.25,76340400,AMD,-0.05307910580586894
2023-07-21,110.97000122070312,112.3000030517578,109.54000091552734,110.9499969482422,76778100,AMD,0.00634917866886342
2023-07-24,110.62000274658205,111.30999755859376,108.5500030517578,110.61000061035156,45583600,AMD,-0.003064410520436933
2023-07-25,111.13999938964844,114.0500030517578,111.0,113.0,44916300,AMD,0.02160744396040415
2023-07-26,111.91000366210938,112.36000061035156,109.3000030517578,110.08999633789062,51721700,AMD,-0.025752244797428103
2023-07-27,111.79000091552734,115.08000183105467,110.51000213623048,111.0999984741211,70678000,AMD,0.009174331636187416
2023-07-28,113.37999725341795,114.86000061035156,112.44000244140624,112.95999908447266,55526000,AMD,0.01674167989106512
2023-07-31,114.16000366210938,114.68000030517578,112.3499984741211,114.4000015258789,54187300,AMD,0.012747897070443548
2023-08-01,114.26000213623048,118.19000244140624,113.16000366210938,117.5999984741211,95279300,AMD,0.02797200092273
2023-08-02,119.48999786376952,119.5,107.37999725341795,109.3499984741211,173372000,AMD,-0.07015306213473704
2023-08-03,108.9499969482422,114.95999908447266,108.9499969482422,113.1500015258789,90605400,AMD,0.034750828575979664
2023-08-04,114.4800033569336,118.8499984741211,113.95999908447266,115.81999969482422,83083100,AMD,0.02359697863843735
2023-08-07,116.36000061035156,119.08000183105467,115.48999786376952,116.80999755859376,65854800,AMD,0.008547728081316652
2023-08-08,114.94000244140624,115.45999908447266,111.41000366210938,113.2300033569336,54141800,AMD,-0.030648011955178633
2023-08-09,112.88999938964844,113.1500015258789,108.77999877929688,110.47000122070312,56257100,AMD,-0.02437518373579961
2023-08-10,111.3000030517578,113.88999938964844,109.47000122070312,110.2300033569336,57297800,AMD,-0.0021725161683491256
2023-08-11,108.8499984741211,109.06999969482422,106.4800033569336,107.56999969482422,55618700,AMD,-0.02413139418581045
2023-08-14,106.75,111.98999786376952,105.41999816894533,111.9800033569336,57421800,AMD,0.04099659453956073
2023-08-15,111.98999786376952,113.18000030517578,110.16999816894533,111.3499984741211,53816600,AMD,-0.005626048079355517
2023-08-16,110.08999633789062,110.44000244140624,106.9800033569336,107.19000244140624,54327300,AMD,-0.03735964157809746
2023-08-17,107.62000274658205,107.8499984741211,104.0999984741211,104.44000244140624,59064300,AMD,-0.02565537771587645
2023-08-18,102.4000015258789,106.06999969482422,101.68000030517578,105.4499969482422,59884300,AMD,0.009670571459461597
2023-08-21,106.1999969482422,108.54000091552734,105.66999816894533,108.22000122070312,49319200,AMD,0.026268414913473315
2023-08-22,109.4000015258789,109.72000122070312,104.8499984741211,105.66000366210938,47335100,AMD,-0.023655493713892195
2023-08-23,105.6500015258789,110.08000183105467,105.0,109.43000030517578,54656300,AMD,0.035680451565405
2023-08-24,111.05999755859376,111.63999938964844,100.87000274658205,101.8000030517578,109179100,AMD,-0.0697249130232992
2023-08-25,101.16999816894533,104.12000274658205,99.58000183105467,102.25,74793100,AMD,0.004420402109550192
2023-08-28,103.47000122070312,104.06999969482422,100.88999938964844,102.61000061035156,55386800,AMD,0.0035207883652963456
2023-08-29,102.11000061035156,106.56999969482422,101.79000091552734,105.91999816894533,50850300,AMD,0.032258040531186305
2023-08-30,105.4000015258789,107.66999816894533,104.5,106.58999633789062,54847300,AMD,0.006325511523108451
2023-08-31,106.19000244140624,108.05999755859376,104.86000061035156,105.72000122070312,58919000,AMD,-0.008162070992381087
2023-09-01,107.0,110.05999755859376,106.61000061035156,109.4499969482422,54808900,AMD,0.035281835834945374
